frame,sign,kx,ky,sbxframe
9105,-1,-7,3,2476
9120,1,5,6,2480
9135,1,12,12,2484
9150,-1,6,-12,2488
9165,-1,-1,-3,2492
9180,1,-1,-11,2495
9195,-1,-7,2,2499
9210,1,9,-6,2503
9225,-1,-6,-4,2507
9240,-1,1,2,2511
9255,1,-1,-12,2515
9270,1,-3,-9,2519
9285,1,1,-4,2523
9300,-1,-6,-11,2526
9315,-1,-6,7,2530
9330,1,5,12,2534
9345,1,5,1,2538
9360,1,4,2,2542
9375,-1,-10,-9,2546
9390,1,-7,-4,2550
9405,1,-10,9,2553
9420,1,-2,1,2557
9435,1,-9,9,2561
9450,-1,-9,-8,2565
9465,-1,-5,-4,2569
9480,1,-2,7,2573
9495,1,-1,2,2577
9510,1,-4,-5,2581
9525,1,4,8,2584
9540,1,2,-9,2588
9555,-1,-5,-7,2592
9570,-1,-7,4,2596
9585,-1,-9,7,2600
9600,-1,-2,-12,2604
9615,1,2,1,2608
9630,1,3,-2,2611
9645,-1,-9,11,2615
9660,-1,-2,8,2619
9675,-1,10,0,2623
9690,1,-8,0,2627
9705,-1,-5,-11,2631
9720,1,11,-8,2635
9735,1,-8,6,2639
9750,-1,10,3,2642
9765,-1,10,10,2646
9780,-1,5,5,2650
9795,-1,-1,7,2654
9810,-1,5,-10,2658
9825,1,-11,-6,2662
9840,-1,-7,-11,2666
9855,-1,-7,-7,2670
9870,1,8,-10,2673
9885,-1,3,8,2677
9900,1,5,10,2681
9915,1,5,-2,2685
9930,1,10,9,2689
9945,-1,6,7,2693
9960,1,-1,-3,2697
9975,-1,3,-7,2700
9990,1,0,11,2704
10005,-1,-9,7,2708
10020,1,4,-6,2712
10035,1,6,7,2716
10050,1,-12,9,2720
10065,1,-3,-1,2724
10080,1,-10,4,2728
10095,1,3,8,2731
10110,1,-2,-2,2735
10125,-1,-1,-6,2739
10140,1,0,-12,2743
10155,-1,-12,5,2747
10170,1,-2,-4,2751
10185,-1,12,5,2755
10200,1,5,-10,2758
10215,-1,7,11,2762
10230,-1,-7,-6,2766
10245,-1,-8,1,2770
10260,1,-6,-1,2774
10275,1,11,-11,2778
10290,-1,5,10,2782
10305,1,-10,3,2786
10320,1,3,9,2789
10335,-1,7,0,2793
10350,-1,10,-10,2797
10365,-1,7,7,2801
10380,1,-12,-2,2805
10395,-1,2,4,2809
10410,-1,6,3,2813
10425,-1,2,10,2816
10440,-1,-7,9,2820
10455,1,-12,3,2824
10470,-1,-1,-2,2828
10485,1,2,5,2832
10500,1,8,0,2836
10515,1,-6,3,2840
10530,-1,-8,-11,2844
10545,1,-3,-5,2847
10560,1,4,1,2851
10575,1,4,5,2855
10590,-1,1,0,2859
10605,1,-10,12,2863
10620,-1,-9,-9,2867
10635,-1,1,11,2871
10650,-1,-10,-2,2874
10665,1,-1,-4,2878
10680,-1,-2,7,2882
10695,1,-1,11,2886
